Video 1 | Frame 402 | No Violation
Video 1 | Frame 403 | No Violation
Video 1 | Frame 404 | No Violation
Video 1 | Frame 405 | No Violation
Video 1 | Frame 454 | No Violation
Video 1 | Frame 455 | No Violation
Video 1 | Frame 456 | No Violation
Video 1 | Frame 457 | No Violation
Video 1 | Frame 458 | No Violation
Video 1 | Frame 459 | No Violation
Video 1 | Frame 515 | No Violation
Video 1 | Frame 517 | No Violation
Video 1 | Frame 518 | No Violation
Video 1 | Frame 519 | No Violation
Video 1 | Frame 520 | No Violation
Video 1 | Frame 521 | No Violation
Video 1 | Frame 522 | No Violation
Video 1 | Frame 523 | No Violation
Video 1 | Frame 524 | No Violation
Video 1 | Frame 525 | No Violation
Video 1 | Frame 526 | No Violation
Video 1 | Frame 527 | No Violation
Video 1 | Frame 528 | No Violation
Video 1 | Frame 529 | No Violation
Video 1 | Frame 530 | No Violation
Video 1 | Frame 531 | No Violation
Video 1 | Frame 532 | No Violation
Video 1 | Frame 533 | No Violation
Video 1 | Frame 534 | No Violation
Video 1 | Frame 535 | No Violation
Video 1 | Frame 536 | No Violation
Video 1 | Frame 537 | No Violation
Video 1 | Frame 538 | No Violation
Video 1 | Frame 539 | No Violation
Video 1 | Frame 540 | No Violation
Video 1 | Frame 541 | No Violation
Video 1 | Frame 542 | No Violation
Video 1 | Frame 543 | No Violation
Video 1 | Frame 544 | No Violation
Video 1 | Frame 545 | No Violation
Video 1 | Frame 546 | No Violation
Video 1 | Frame 547 | No Violation
Video 1 | Frame 548 | No Violation
Video 1 | Frame 549 | No Violation
Video 1 | Frame 550 | No Violation
Video 1 | Frame 551 | No Violation
Video 1 | Frame 552 | No Violation
Video 1 | Frame 553 | No Violation
Video 1 | Frame 554 | No Violation
Video 1 | Frame 555 | No Violation
Video 1 | Frame 556 | No Violation
Video 1 | Frame 557 | No Violation
Video 1 | Frame 558 | No Violation
Video 1 | Frame 559 | No Violation
Video 1 | Frame 560 | No Violation
Video 1 | Frame 561 | No Violation
Video 1 | Frame 562 | No Violation
Video 1 | Frame 563 | No Violation
Video 1 | Frame 564 | No Violation
Video 1 | Frame 565 | No Violation
Video 1 | Frame 566 | No Violation
Video 1 | Frame 567 | No Violation
Video 1 | Frame 568 | No Violation
Video 1 | Frame 569 | No Violation
Video 1 | Frame 570 | No Violation
Video 1 | Frame 571 | No Violation
Video 1 | Frame 572 | No Violation
Video 1 | Frame 573 | No Violation
Video 1 | Frame 574 | No Violation
Video 1 | Frame 575 | No Violation
Video 1 | Frame 576 | No Violation
Video 1 | Frame 577 | No Violation
Video 1 | Frame 578 | No Violation
Video 1 | Frame 579 | No Violation
Video 1 | Frame 580 | No Violation
Video 1 | Frame 581 | No Violation
Video 1 | Frame 582 | No Violation
Video 1 | Frame 583 | No Violation
Video 1 | Frame 584 | No Violation
Video 1 | Frame 585 | No Violation
Video 1 | Frame 586 | No Violation
Video 1 | Frame 587 | No Violation
Video 1 | Frame 588 | No Violation
Video 1 | Frame 589 | No Violation
